Alpha,Beta,Delta,RMSE,R2,RE
0.01,0.01,0.00,6.5541,-0.4787,0.9563
0.01,0.02,0.01,6.2655,-0.3514,0.9641
0.01,0.06,0.05,3.4157,0.5984,0.9371
0.01,0.11,0.10,3.1887,0.6500,0.9336
0.01,0.26,0.25,2.9312,0.7042,0.9274
0.01,0.51,0.50,2.8402,0.7223,0.9247
0.01,1.01,1.00,2.6778,0.7532,0.9314
0.01,2.01,2.00,2.5632,0.7738,0.9380
0.01,5.01,5.00,2.5398,0.7779,0.9424
0.01,10.01,10.00,2.6796,0.7528,0.9438
0.10,0.10,0.00,3.2887,0.6277,0.8993
0.10,0.11,0.01,3.2304,0.6408,0.9052
0.10,0.15,0.05,3.1008,0.6690,0.9165
0.10,0.20,0.10,3.0121,0.6877,0.9197
0.10,0.35,0.25,2.8975,0.7110,0.9196
0.10,0.60,0.50,2.8057,0.7290,0.9219
0.10,1.10,1.00,2.7198,0.7454,0.9305
0.10,2.10,2.00,2.5903,0.7690,0.9337
0.10,5.10,5.00,2.5950,0.7682,0.9444
0.10,10.10,10.00,2.6820,0.7524,0.9409
0.50,0.50,0.00,2.8681,0.7168,0.8943
0.50,0.51,0.01,2.8652,0.7174,0.8949
0.50,0.55,0.05,2.8541,0.7196,0.8978
0.50,0.60,0.10,2.8286,0.7246,0.9041
0.50,0.75,0.25,2.7762,0.7347,0.9102
0.50,1.00,0.50,2.7572,0.7383,0.9163
0.50,1.50,1.00,2.6347,0.7610,0.9266
0.50,2.50,2.00,2.5829,0.7703,0.9302
0.50,5.50,5.00,2.5626,0.7739,0.9413
0.50,10.50,10.00,2.7099,0.7472,0.9446
1.00,1.00,0.00,2.7873,0.7326,0.8933
1.00,1.01,0.01,2.8120,0.7278,0.8925
1.00,1.05,0.05,2.7792,0.7341,0.8961
1.00,1.10,0.10,2.7693,0.7360,0.9000
1.00,1.25,0.25,2.7229,0.7448,0.9073
1.00,1.50,0.50,2.5984,0.7676,0.9266
1.00,2.00,1.00,2.6328,0.7614,0.9213
1.00,3.00,2.00,2.5371,0.7784,0.9422
1.00,6.00,5.00,2.5497,0.7762,0.9393
1.00,11.00,10.00,2.7455,0.7405,0.9433
1.50,1.50,0.00,2.7412,0.7413,0.8994
1.50,1.51,0.01,2.7096,0.7473,0.9000
1.50,1.55,0.05,2.6639,0.7557,0.9068
1.50,1.60,0.10,2.7320,0.7431,0.9035
1.50,1.75,0.25,2.6549,0.7574,0.9092
1.50,2.00,0.50,2.6437,0.7594,0.9124
1.50,2.50,1.00,2.5698,0.7727,0.9307
1.50,3.50,2.00,2.5494,0.7763,0.9372
1.50,6.50,5.00,2.6115,0.7652,0.9395
1.50,11.50,10.00,2.6821,0.7524,0.9419
2.00,2.00,0.00,2.6653,0.7555,0.9064
2.00,2.01,0.01,2.6691,0.7548,0.9058
2.00,2.05,0.05,2.6472,0.7588,0.9124
2.00,2.10,0.10,2.6574,0.7569,0.9060
2.00,2.25,0.25,2.6311,0.7617,0.9120
2.00,2.50,0.50,2.6464,0.7589,0.9118
2.00,3.00,1.00,2.5982,0.7676,0.9279
2.00,4.00,2.00,2.5729,0.7721,0.9343
2.00,7.00,5.00,2.6187,0.7639,0.9416
2.00,12.00,10.00,2.6914,0.7506,0.9433
5.00,5.00,0.00,2.5960,0.7680,0.9251
5.00,5.01,0.01,2.6054,0.7663,0.9226
5.00,5.05,0.05,2.6142,0.7648,0.9196
5.00,5.10,0.10,2.6064,0.7661,0.9233
5.00,5.25,0.25,2.5761,0.7715,0.9246
5.00,5.50,0.50,2.5773,0.7713,0.9254
5.00,6.00,1.00,2.6016,0.7670,0.9296
5.00,7.00,2.00,2.6278,0.7623,0.9339
5.00,10.00,5.00,2.6611,0.7562,0.9393
5.00,15.00,10.00,2.7414,0.7413,0.9427
10.00,10.00,0.00,2.6554,0.7573,0.9232
10.00,10.01,0.01,2.6990,0.7492,0.9205
10.00,10.05,0.05,2.7054,0.7480,0.9263
10.00,10.10,0.10,2.6997,0.7491,0.9205
10.00,10.25,0.25,2.7063,0.7479,0.9246
10.00,10.50,0.50,2.7086,0.7475,0.9259
10.00,11.00,1.00,2.6722,0.7542,0.9241
10.00,12.00,2.00,2.8837,0.7137,0.9395
10.00,15.00,5.00,2.6994,0.7492,0.9354
10.00,20.00,10.00,2.7732,0.7353,0.9399
